County of Vaccine Provider,Vaccinations Completed
Polk,326476
Linn,153531
Johnson,109395
Scott,103525
Black Hawk,86911
Dubuque,71342
Story,62181
Woodbury,59335
Pottawattamie,58196
Dallas,57730
Cerro Gordo,31998
Muscatine,22929
Des Moines,22733
Clinton,22008
Webster,21827
Warren,21072
Marshall,20899
Marion,18497
Jasper,17433
Lee,16868
Bremer,16214
Wapello,15891
Sioux,14899
Buena Vista,13910
Boone,13270
Carroll,12993
Fayette,12326
Cass,11689
Plymouth,11469
Winneshiek,11455
Poweshiek,11033
Henry,10988
Tama,10041
Clay,9825
Jefferson,9731
Jackson,9620
Mahaska,9499
Washington,9347
Benton,9091
Dickinson,9050
Crawford,9037
Page,8932
Floyd,8756
Hardin,8578
Jones,8295
Hamilton,8276
Buchanan,7809
Madison,7796
Wright,7602
Cedar,7291
Kossuth,7150
Clayton,7136
Iowa,7001
Mills,6910
Shelby,6706
Delaware,6615
O'Brien,6586
Allamakee,6478
Clarke,6454
Union,6293
Grundy,5907
Cherokee,5814
Emmet,5762
Out of State,5762
Appanoose,5573
Greene,5512
Davis,5478
Louisa,5388
Mitchell,5260
Guthrie,5204
Winnebago,5125
Humboldt,4912
Calhoun,4637
Montgomery,4580
Franklin,4250
Lucas,4233
Butler,4172
Hancock,4145
Harrison,4018
Palo Alto,4003
Monroe,3949
Wayne,3626
Sac,3566
Lyon,3549
Chickasaw,3496
Decatur,3281
Howard,2966
Adair,2846
Monona,2768
Taylor,2508
Ringgold,2459
Ida,2358
Pocahontas,2322
Audubon,2267
Worth,1952
Adams,1916
Keokuk,1889
Osceola,1875
Fremont,1864
Van Buren,1732
