County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,64503,150456,7045,373022
Linn,26142,79367,6805,190323
Johnson,16419,63230,2910,145623
Story,14517,29910,1524,75346
Scott,13100,57119,4005,132553
Black Hawk,12023,48618,4608,114146
Dallas,11479,25943,1492,63850
Dubuque,9649,45549,1307,101910
Pottawattamie,7066,32322,4293,76969
Woodbury,5410,33725,3167,75608
Warren,4752,11296,533,27594
Cerro Gordo,4360,18495,1213,42601
Marshall,4226,7882,2515,22450
Clinton,3776,10779,1061,26465
Jasper,3439,9076,514,21845
Muscatine,3415,8799,4107,25208
Webster,2952,12840,838,29659
Des Moines,2914,13694,551,30835
Poweshiek,2399,5848,163,14161
Marion,2325,8871,3709,23829
Bremer,2248,9225,954,21627
Boone,2190,8075,308,18564
Wapello,2174,8656,437,19970
Lee,2048,8852,1184,21180
Carroll,1744,7309,788,17216
Tama,1725,5416,940,13412
Henry,1713,5072,638,12558
Iowa,1710,3748,477,9682
Jones,1699,4029,605,10398
Mahaska,1672,5212,277,12402
Madison,1631,4920,105,11575
Page,1608,4892,627,12032
Sioux,1602,7641,2354,19253
Winneshiek,1578,5565,665,13414
Jackson,1502,5994,133,13607
Washington,1482,5003,401,11900
Emmet,1480,3307,297,8473
Cass,1476,8333,251,18512
Fayette,1303,8336,809,18791
Floyd,1274,4605,731,11209
Buena Vista,1258,4902,3160,14321
Hamilton,1256,5201,339,12088
Benton,1252,5849,363,13314
Mills,1190,4036,92,9360
Cedar,1121,4726,201,10754
Dickinson,1097,6001,131,13245
Union,1045,3470,136,7994
Shelby,1025,4398,46,9914
Hardin,1023,4676,1173,11556
Jefferson,987,5603,754,12953
Buchanan,972,4875,190,10902
Crawford,891,4650,1458,11665
Guthrie,866,3133,174,7307
Plymouth,815,5713,2792,15060
Harrison,788,2588,187,6154
Kossuth,787,4756,376,10705
Greene,775,3451,352,8039
Clarke,768,3112,1264,8237
Grundy,758,3594,207,8160
Lucas,745,2472,311,6032
Clay,739,6955,72,14687
Delaware,736,3435,610,8208
O'Brien,712,4168,225,9281
Winnebago,711,2965,392,7049
Wright,702,3727,1492,9623
Butler,677,3114,103,7013
Clayton,660,5270,589,11806
Cherokee,655,3734,173,8298
Calhoun,650,3451,121,7689
Montgomery,624,2387,505,5922
Allamakee,589,4881,47,10385
Appanoose,551,3520,409,8058
Wayne,519,2424,338,5757
Hancock,515,2368,566,5816
Lyon,513,2412,25,5358
Howard,510,1512,87,3610
Franklin,503,2820,186,6334
Sac,470,2806,0,6089
Humboldt,467,3334,316,7561
Chickasaw,462,2245,298,5245
Davis,429,2697,1595,7420
Monroe,425,2509,199,5654
Decatur,419,2386,105,5347
Pocahontas,402,1417,130,3367
Louisa,399,2716,1493,7298
Mitchell,392,3812,64,8093
Palo Alto,389,2772,88,6055
Monona,373,1567,105,3599
Worth,311,1354,0,3016
Ringgold,295,1705,0,3731
Out of State,257,4254,0,8422
Keokuk,247,1274,100,2896
Adams,224,1457,1,3279
Taylor,223,1942,0,4130
Adair,222,1863,280,4186
Fremont,219,1341,73,2976
Audubon,214,1717,100,3745
Van Buren,193,1254,69,2770
Osceola,186,1250,125,2811
Ida,151,1371,426,3319
