County of Vaccine Provider,Vaccinations Completed
Polk,316589
Linn,149331
Johnson,106662
Scott,100653
Black Hawk,85091
Dubuque,69840
Story,60438
Woodbury,58041
Pottawattamie,56781
Dallas,55355
Cerro Gordo,31303
Muscatine,22242
Des Moines,22208
Clinton,21420
Webster,21376
Warren,20649
Marshall,20353
Marion,18195
Jasper,17096
Lee,16526
Bremer,15875
Wapello,15558
Sioux,14661
Buena Vista,13624
Boone,13043
Carroll,12684
Fayette,12126
Cass,11556
Plymouth,11263
Winneshiek,11031
Poweshiek,10828
Henry,10793
Tama,9908
Clay,9616
Jefferson,9563
Jackson,9406
Mahaska,9289
Washington,9167
Benton,8951
Dickinson,8906
Crawford,8850
Page,8704
Floyd,8594
Hardin,8378
Hamilton,8131
Jones,8011
Madison,7690
Buchanan,7686
Wright,7417
Cedar,7107
Clayton,7075
Kossuth,7028
Iowa,6851
Mills,6849
Shelby,6598
Delaware,6481
O'Brien,6440
Allamakee,6383
Clarke,6329
Union,6154
Grundy,5806
Cherokee,5723
Out of State,5688
Emmet,5656
Appanoose,5453
Greene,5407
Davis,5376
Louisa,5355
Mitchell,5161
Guthrie,5092
Winnebago,5035
Humboldt,4824
Calhoun,4574
Montgomery,4483
Lucas,4183
Franklin,4181
Butler,4143
Hancock,4112
Harrison,3944
Palo Alto,3921
Monroe,3906
Wayne,3572
Sac,3529
Lyon,3451
Chickasaw,3437
Decatur,3256
Howard,2846
Adair,2806
Monona,2676
Taylor,2462
Ringgold,2397
Ida,2320
Pocahontas,2283
Audubon,2244
Worth,1917
Adams,1864
Keokuk,1850
Osceola,1848
Fremont,1838
Van Buren,1719
